LotArea,SalePrice
8.45,2.085
9.6,1.815
11.25,2.235
9.55,1.4
14.26,2.5
14.115,1.43
10.084,3.07
10.382,2
6.12,1.299
7.42,1.18
11.2,1.295
11.924,3.45
12.968,1.44
10.652,2.795
10.92,1.57
6.12,1.32
11.241,1.49
10.791,0.9
13.695,1.59
7.56,1.39
14.215,3.253
7.449,1.394
9.742,2.3
4.224,1.299
8.246,1.54
14.23,2.563
7.2,1.348
11.478,3.06
16.321,2.075
6.324,0.685
8.5,0.4
8.544,1.4935
11.049,1.799
10.552,1.655
7.313,2.775
13.418,3.09
10.859,1.45
8.532,1.53
7.922,1.09
6.04,0.82
8.658,1.6
16.905,1.7
9.18,1.44
9.2,1.3025
7.945,1.41
7.658,3.199
12.822,2.39686
11.096,2.497
4.456,1.13
7.742,1.27
13.869,1.77
